inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
I0001,P0001,W001,420,50,2026-05-01
I0002,P0001,W002,185,40,2026-05-01
I0003,P0001,W003,275,60,2026-05-02
I0004,P0002,W001,95,30,2026-05-02
I0005,P0002,W004,510,80,2026-05-03
I0006,P0003,W002,130,35,2026-05-03
I0007,P0003,W003,760,100,2026-05-04
I0008,P0004,W001,245,45,2026-05-04
I0009,P0004,W005,60,25,2026-05-05
I0010,P0005,W002,390,70,2026-05-05
I0011,P0005,W004,215,40,2026-05-06
I0012,P0006,W003,680,90,2026-05-06
I0013,P0006,W005,155,35,2026-05-07
I0014,P0007,W001,305,55,2026-05-07
I0015,P0007,W002,88,30,2026-05-08
I0016,P0008,W003,470,75,2026-05-08
I0017,P0008,W004,240,45,2026-05-09
I0018,P0009,W005,525,85,2026-05-09
I0019,P0010,W001,112,30,2026-05-10
I0020,P0010,W002,610,95,2026-05-10
